ANO;LOCALIDAD;SEXO;MIGRANTE;TOTAL_NACIDOS_VIVOS;TOTAL_BPN;PROPORCIÓN
2017;14 - Los Mártires;Femenino;Extranjero;11;2;18.18
2017;07 - Bosa;Femenino;Extranjero;21;1;4.76
2017;15 - Antonio Nariño;Femenino;Extranjero;12;2;16.67
2017;19 - Ciudad Bolívar;Femenino;Extranjero;21;2;9.52
2017;09 - Fontibón;Femenino;Extranjero;9;0;0.0
2017;12 - Barrios Unidos;Femenino;Extranjero;8;1;12.5
2017;03 - Santa Fe;Femenino;Extranjero;8;0;0.0
2017;06 - Tunjuelito;Femenino;Extranjero;10;5;50.0
2017;05 - Usme;Femenino;Extranjero;9;2;22.22
2017;17 - La Candelaria;Femenino;Extranjero;3;0;0.0
2017;99 - Sin Información;Femenino;Extranjero;2;0;0.0
2017;16 - Puente Aranda;Femenino;Extranjero;6;2;33.33
2017;00 - Bogotá;Femenino;Sin Informacion;80;16;20.0
2017;08 - Kennedy;Femenino;Sin Informacion;10;4;40.0
2017;18 - Rafael Uribe Uribe;Femenino;Sin Informacion;8;0;0.0
2017;06 - Tunjuelito;Femenino;Sin Informacion;3;2;66.67
2017;10 - Engativá;Femenino;Sin Informacion;6;1;16.67
2017;05 - Usme;Femenino;Sin Informacion;7;1;14.29
2017;99 - Sin Información;Femenino;Sin Informacion;1;0;0.0
2017;01 - Usaquén;Femenino;Sin Informacion;5;0;0.0
2017;04 - San Cristóbal;Femenino;Sin Informacion;8;2;25.0
2017;19 - Ciudad Bolívar;Femenino;Sin Informacion;15;1;6.67
2017;14 - Los Mártires;Femenino;Sin Informacion;7;1;14.29
2017;11 - Suba;Femenino;Sin Informacion;1;0;0.0
2017;03 - Santa Fe;Femenino;Sin Informacion;3;1;33.33
2017;15 - Antonio Nariño;Femenino;Sin Informacion;1;1;100.0
2017;07 - Bosa;Femenino;Sin Informacion;2;0;0.0
2017;17 - La Candelaria;Femenino;Sin Informacion;1;0;0.0
2017;09 - Fontibón;Femenino;Sin Informacion;1;1;100.0
2017;02 - Chapinero;Femenino;Sin Informacion;1;1;100.0
2017;00 - Bogotá;Indeterminado;Colombiano;7;2;28.57
2017;08 - Kennedy;Indeterminado;Colombiano;2;0;0.0
2017;19 - Ciudad Bolívar;Indeterminado;Colombiano;1;0;0.0
2017;10 - Engativá;Indeterminado;Colombiano;1;0;0.0
2017;07 - Bosa;Indeterminado;Colombiano;1;1;100.0
2017;05 - Usme;Indeterminado;Colombiano;1;0;0.0
2017;11 - Suba;Indeterminado;Colombiano;1;1;100.0
2017;00 - Bogotá;Masculino;Colombiano;46888;5590;11.92
2017;06 - Tunjuelito;Masculino;Colombiano;1246;129;10.35
2017;04 - San Cristóbal;Masculino;Colombiano;2682;359;13.39
2017;11 - Suba;Masculino;Colombiano;6726;816;12.13
2017;08 - Kennedy;Masculino;Colombiano;6881;843;12.25
2017;13 - Teusaquillo;Masculino;Colombiano;581;52;8.95
2017;18 - Rafael Uribe Uribe;Masculino;Colombiano;2369;285;12.03
2017;19 - Ciudad Bolívar;Masculino;Colombiano;4776;585;12.25
2017;16 - Puente Aranda;Masculino;Colombiano;1295;143;11.04
2017;05 - Usme;Masculino;Colombiano;2658;326;12.26
2017;09 - Fontibón;Masculino;Colombiano;1930;215;11.14
2017;10 - Engativá;Masculino;Colombiano;4154;456;10.98
2017;02 - Chapinero;Masculino;Colombiano;951;123;12.93
2017;01 - Usaquén;Masculino;Colombiano;2951;318;10.78
2017;07 - Bosa;Masculino;Colombiano;4812;575;11.95
2017;14 - Los Mártires;Masculino;Colombiano;508;60;11.81
2017;15 - Antonio Nariño;Masculino;Colombiano;540;52;9.63
2017;03 - Santa Fe;Masculino;Colombiano;813;113;13.9
2017;12 - Barrios Unidos;Masculino;Colombiano;717;92;12.83
2017;17 - La Candelaria;Masculino;Colombiano;168;30;17.86
2017;99 - Sin Información;Masculino;Colombiano;119;17;14.29
2017;20 - Sumapaz;Masculino;Colombiano;11;1;9.09
2017;00 - Bogotá;Masculino;Extranjero;579;61;10.54
2017;01 - Usaquén;Masculino;Extranjero;121;13;10.74
2017;19 - Ciudad Bolívar;Masculino;Extranjero;17;2;11.76
2017;07 - Bosa;Masculino;Extranjero;22;1;4.55
2017;02 - Chapinero;Masculino;Extranjero;91;10;10.99
2017;04 - San Cristóbal;Masculino;Extranjero;16;4;25.0
2017;11 - Suba;Masculino;Extranjero;103;13;12.62
2017;10 - Engativá;Masculino;Extranjero;56;5;8.93
2017;13 - Teusaquillo;Masculino;Extranjero;20;1;5.0
2017;18 - Rafael Uribe Uribe;Masculino;Extranjero;10;1;10.0
2017;08 - Kennedy;Masculino;Extranjero;33;5;15.15
2017;09 - Fontibón;Masculino;Extranjero;21;0;0.0
2017;14 - Los Mártires;Masculino;Extranjero;12;0;0.0
2017;12 - Barrios Unidos;Masculino;Extranjero;12;0;0.0
2017;05 - Usme;Masculino;Extranjero;9;2;22.22
2017;17 - La Candelaria;Masculino;Extranjero;6;0;0.0
2017;15 - Antonio Nariño;Masculino;Extranjero;6;1;16.67
2017;03 - Santa Fe;Masculino;Extranjero;12;1;8.33
2017;06 - Tunjuelito;Masculino;Extranjero;8;1;12.5
2017;99 - Sin Información;Masculino;Extranjero;2;0;0.0
2017;16 - Puente Aranda;Masculino;Extranjero;2;1;50.0
2017;00 - Bogotá;Masculino;Sin Informacion;84;16;19.05
2017;10 - Engativá;Masculino;Sin Informacion;7;0;0.0
2017;08 - Kennedy;Masculino;Sin Informacion;12;3;25.0
2017;18 - Rafael Uribe Uribe;Masculino;Sin Informacion;6;1;16.67
2017;06 - Tunjuelito;Masculino;Sin Informacion;2;0;0.0
2017;14 - Los Mártires;Masculino;Sin Informacion;8;3;37.5
2017;05 - Usme;Masculino;Sin Informacion;5;1;20.0
2017;11 - Suba;Masculino;Sin Informacion;2;0;0.0
2017;01 - Usaquén;Masculino;Sin Informacion;4;1;25.0
2017;07 - Bosa;Masculino;Sin Informacion;6;0;0.0
2017;19 - Ciudad Bolívar;Masculino;Sin Informacion;14;2;14.29
2017;04 - San Cristóbal;Masculino;Sin Informacion;7;1;14.29
2017;12 - Barrios Unidos;Masculino;Sin Informacion;3;1;33.33
2017;99 - Sin Información;Masculino;Sin Informacion;2;2;100.0
2017;17 - La Candelaria;Masculino;Sin Informacion;1;0;0.0
2017;03 - Santa Fe;Masculino;Sin Informacion;4;1;25.0
